n,0.25|n,0|0,0|15,0|3,0
0,0|n,0|0,0|0,0|0,0
n,0|n,0|n,0|0,0|3,0
0,0|4,0|n,0|n,0|0,0
0,0|n,0|10,0|0,0|0,0
0,0|0,0|n,0|0,0|0,0
0,0|0,0|n,0|n,0|0,0
0,0|11,0|n,0|0,0|0,0
0,0|n,0|n,0|15,0|0,0
0,0|n,0|0,0|0,0|0,0
0,0|n,0|n,0|0,0|0,0
0,0|4,0|n,0|n,0|0,0
n,0|0,0|19,0|0,0|0,0
1,0|0,0|0,0|0,0|15,0
2,0|n,0|n,0|0,0|0,0
0,0|18,0|0,0|n,0|30,0
n,0|n,0|0,0|15,0|0,0
0,0|n,0|0,0|0,0|3,0
n,0|n,0|n,0|0,0|0,0
0,0|4,0|n,0|n,0|0,0
0,0|n,0|10,0|0,0|0,0
0,0|0,0|n,0|0,0|0,0
0,0|0,0|n,0|n,0|0,0
0,0|11,0|n,0|0,0|0,0
0,0|n,0|n,0|15,0|0,0
0,0|n,0|0,0|0,0|7,0
0,0|n,0|n,0|0,0|0,0
0,0|4,0|n,0|n,0|0,0
n,0|0,0|19,0|0,0|0,0
1,0|0,0|0,0|0,0|0,0
2,0|n,0|n,0|0,0|0,0
0,0|18,0|0,0|n,0|0,0
