1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
24,0|11,0
24,0|11,0
24,0|11,0
24,0|11,0
1,0|1,0
24,0|11,0
24,0|11,0
24,0|24,0
1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
1,0|26,0
3,0|27,0
2,0|7,0
0,0|n,0
8,0|8,0
24,0|22,0
0,0|n,0
8,0|8,0
12,0|4,0
13,0|13,0
16,0|16,0
31,0|7,0
12,0|n,0
13,0|13,0
16,0|16,0
31,0|29,0
24,0|11,0
24,0|11,0
24,0|11,0
24,0|11,0
1,0|1,0
24,0|11,0
24,0|11,0
24,0|24,0
